distance_km,hour_sin,hour_cos,dow_sin,dow_cos,month,stop_index,stops_in_route,stops_remaining,route_progress,is_same_cluster,bearing_deg,cluster_dest_cat,vehicle_type,traffic_level,weather,time_to_next_stop_min
1.4964,-0.5,-0.866025,0.974928,-0.222521,3,3,12,8,0.2727,1,332.08,9,van,Medium,Sunny,27.91
2.8299,0.866025,-0.5,0.974928,-0.222521,10,1,7,5,0.1667,0,320.52,9,car,Normal,Sunny,38.34
1.3811,0.0,-1.0,-0.781831,0.62349,4,2,11,8,0.2,0,88.3,2,motorcycle,Medium,Sunny,12.88
1.5097,-0.965926,0.258819,-0.974928,-0.222521,7,8,14,5,0.6154,1,154.02,0,van,Normal,Foggy,43.97
0.4845,-0.866025,-0.5,-0.781831,0.62349,11,7,10,2,0.7778,0,148.9,4,car,Low,Sunny,1.82
2.163,-0.5,0.866025,-0.974928,-0.222521,3,3,5,1,0.75,0,175.28,0,motorcycle,Medium,Sunny,30.21
0.9229,-0.965926,0.258819,0.433884,-0.900969,6,10,11,0,1.0,1,359.17,4,van,Medium,Sunny,14.43
0.1655,0.0,-1.0,-0.974928,-0.222521,3,9,14,4,0.6923,1,62.56,7,van,High,Rainy,3.59
2.4251,-0.965926,0.258819,-0.433884,-0.900969,6,6,12,5,0.5455,0,278.08,3,car,High,Sandstorm,61.43
3.2425,-0.866025,0.5,-0.974928,-0.222521,4,3,11,7,0.3,1,81.94,8,car,High,Sunny,59.58
4.5135,-0.866025,-0.5,0.974928,-0.222521,11,3,9,5,0.375,0,266.18,0,car,High,Foggy,90.0
8.6909,-1.0,-0.0,0.781831,0.62349,4,1,5,3,0.25,0,72.98,7,motorcycle,High,Sunny,90.0
2.3045,-0.5,-0.866025,0.781831,0.62349,8,10,12,1,0.9091,1,189.75,5,van,Low,Rainy,17.27
1.8009,-0.707107,0.707107,0.974928,-0.222521,2,4,8,3,0.5714,0,240.4,2,motorcycle,Medium,Sunny,16.6
3.1173,0.5,-0.866025,-0.781831,0.62349,6,1,5,3,0.25,0,155.48,4,car,Normal,Sunny,51.81
0.4759,-0.258819,-0.965926,-0.781831,0.62349,11,1,9,7,0.125,0,347.82,2,car,Low,Sunny,10.35
0.2257,0.5,-0.866025,0.781831,0.62349,9,0,3,2,0.0,1,254.0,6,van,Normal,Foggy,2.25
0.7025,0.965926,-0.258819,0.433884,-0.900969,4,7,9,1,0.875,1,56.64,9,car,High,Rainy,21.45
3.7187,-0.866025,-0.5,-0.781831,0.62349,12,2,10,7,0.2222,0,133.97,5,motorcycle,High,Sunny,86.18
0.5898,0.866025,-0.5,-0.974928,-0.222521,10,0,8,7,0.0,1,113.03,7,van,Jam,Sunny,33.54
1.72,0.707107,-0.707107,-0.433884,-0.900969,5,3,12,8,0.2727,0,106.38,6,van,Jam,Sunny,90.0
1.9053,-1.0,-0.0,-0.433884,-0.900969,12,4,10,5,0.4444,1,76.23,8,car,High,Sunny,61.57
1.3938,0.5,-0.866025,0.974928,-0.222521,3,6,7,0,1.0,0,66.86,5,motorcycle,Normal,Sunny,12.69
