instance,baseline_cost,fragile_cost,urgency_cost,full_biz_cost,fragile_delta_pct,urgency_delta_pct,full_biz_delta_pct
0,153.8918,153.8918,153.8918,153.8918,0.0,0.0,0.0
1,114.8158,119.692,114.8158,119.692,4.25,0.0,4.25
2,153.7273,125.4627,153.7273,125.4627,-18.39,0.0,-18.39
3,143.6313,142.7395,143.6313,142.7395,-0.62,0.0,-0.62
4,120.5315,153.5594,120.5315,153.5594,27.4,0.0,27.4
5,188.1738,168.413,188.1738,168.413,-10.5,0.0,-10.5
6,139.6065,117.016,139.6065,117.016,-16.18,0.0,-16.18
7,87.2875,87.2875,87.2875,87.2875,0.0,0.0,0.0
8,84.1619,81.1976,84.1619,81.1976,-3.52,0.0,-3.52
9,119.6184,143.9895,119.6184,141.4986,20.37,0.0,18.29
10,128.0571,139.3768,128.0571,139.3768,8.84,0.0,8.84
11,108.3234,108.3234,108.3234,108.3234,0.0,0.0,0.0
12,151.75,143.0721,151.75,143.0721,-5.72,0.0,-5.72
13,114.3556,114.3556,114.3556,114.3556,0.0,0.0,0.0
14,138.8322,138.8322,138.8322,138.8322,0.0,0.0,0.0
15,108.3528,131.4969,108.3528,131.4969,21.36,0.0,21.36
16,107.5005,107.5005,107.5005,107.5005,0.0,0.0,0.0
17,152.4956,112.2431,152.4956,112.2431,-26.4,0.0,-26.4
18,81.534,79.7923,81.534,79.7923,-2.14,0.0,-2.14
19,156.3835,156.9815,156.3835,156.9815,0.38,0.0,0.38
20,107.7089,107.7089,107.7089,107.7089,0.0,0.0,0.0
21,148.8096,189.6803,148.8096,189.6803,27.47,0.0,27.47
22,75.7049,75.7049,75.7049,75.7049,0.0,0.0,0.0
23,168.4355,168.4355,168.4355,168.4355,0.0,0.0,0.0
24,123.3677,118.8353,123.3677,118.8353,-3.67,0.0,-3.67
25,104.1194,100.6192,104.1194,86.7969,-3.36,0.0,-16.64
26,145.7717,162.6575,145.7717,162.6575,11.58,0.0,11.58
27,94.7285,105.8042,94.7285,105.8042,11.69,0.0,11.69
28,113.9924,95.0042,113.9924,95.0042,-16.66,0.0,-16.66
29,112.7377,115.0825,112.7377,115.0825,2.08,0.0,2.08
30,114.8569,108.2235,114.8569,108.2235,-5.78,0.0,-5.78
31,152.1241,144.3208,152.1241,144.3208,-5.13,0.0,-5.13
32,199.2411,188.2334,199.2411,198.0604,-5.52,0.0,-0.59
33,121.8787,125.3128,121.8787,125.3128,2.82,0.0,2.82
34,163.6871,164.2906,163.6871,164.2906,0.37,0.0,0.37
35,138.7604,134.8781,138.7604,134.8781,-2.8,0.0,-2.8
36,74.8664,74.8664,74.8664,74.8664,0.0,0.0,0.0
37,140.0369,132.6759,140.0369,133.1043,-5.26,0.0,-4.95
38,122.043,112.4229,122.043,112.4229,-7.88,0.0,-7.88
39,173.998,173.998,173.998,173.998,0.0,0.0,0.0
40,121.1972,109.5523,121.1972,109.5523,-9.61,0.0,-9.61
41,125.9158,125.9158,125.9158,125.9158,0.0,0.0,0.0
42,117.0334,117.0334,117.0334,117.0334,0.0,0.0,0.0
43,84.6125,90.4089,84.6125,90.4089,6.85,0.0,6.85
44,80.1403,85.2849,80.1403,85.2849,6.42,0.0,6.42
45,85.4344,85.6213,85.4344,85.6213,0.22,0.0,0.22
46,142.9906,115.6512,142.9906,115.6512,-19.12,0.0,-19.12
47,101.5614,101.5614,101.5614,101.5614,0.0,0.0,0.0
48,185.4097,185.4097,185.4097,185.4097,0.0,0.0,0.0
49,112.2941,108.2454,112.2941,108.2454,-3.61,0.0,-3.61
